order_item_id,order_id,product_id,quantity,price
1,2,6,4,1905
2,9,2,2,867
3,19,6,2,1905
4,16,7,4,4927
5,5,5,2,4564
6,8,9,5,3562
7,9,10,4,2376
8,19,7,3,4927
9,8,3,5,2005
10,16,2,1,867
11,4,3,2,2005
12,14,10,1,2376
13,13,7,5,4927
14,15,9,3,3562
15,18,1,1,360
16,18,5,3,4564
17,4,5,4,4564
18,6,8,1,153
19,9,9,2,3562
20,17,2,3,867
21,17,10,2,2376
22,5,6,2,1905
23,18,9,1,3562
24,20,6,4,1905
25,1,2,3,867
26,10,4,1,4697
27,8,10,1,2376
28,3,8,1,153
29,18,3,2,2005
30,16,9,2,3562
31,9,9,5,3562
32,14,4,5,4697
33,7,5,4,4564
34,12,8,5,153
35,15,2,2,867
36,8,2,3,867
37,1,10,5,2376
38,8,10,2,2376
39,1,2,1,867
40,8,2,1,867
